county_fips,PCT_poverty_rate_2015,PCT_poverty_rate_2015_children
23031,8.3,11.4
24001,20.0,27.1
24003,6.0,8.1
24005,9.1,11.9
24009,5.9,8.1
24011,14.4,22.9
24013,6.2,7.2
24015,10.0,14.8
24017,7.1,10.4
24019,18.1,29.8
24021,7.4,9.0
24023,13.6,19.3
24025,7.8,10.3
24027,5.2,6.5
24029,14.8,21.6
24031,7.5,10.5
24033,9.5,14.2
24035,7.2,10.5
24037,8.7,12.7
24039,25.8,35.9
24041,10.4,15.9
24043,12.0,17.8
24045,14.7,21.7
24047,11.3,20.7
24510,22.7,33.9
25001,7.6,11.5
25003,14.3,19.6
25005,12.6,17.3
25007,8.5,13.4
25009,11.5,16.6
25011,11.8,16.9
25013,17.1,27.4
25015,15.3,11.6
25017,7.6,8.2
25019,7.3,8.5
25021,7.1,6.4
25023,9.7,12.4
25025,19.8,29.3
25027,12.1,15.2
26001,15.8,30.8
26003,14.6,21.0
26005,11.2,15.1
26007,16.2,24.6
26009,14.2,24.1
26011,20.1,30.5
26013,17.3,24.3
26015,9.3,14.0
26017,14.5,20.8
26019,10.5,19.1
26021,17.1,26.2
26023,14.9,23.7
26025,16.1,24.0
26027,14.8,22.5
26029,11.6,18.3
26031,17.6,28.4
26033,19.7,27.4
26035,24.7,38.8
26037,10.0,10.8
26039,17.2,31.2
26041,14.8,20.8
26043,12.3,17.8
26045,10.9,15.7
